Date,Open,High,Low,Close
2001-07-24,17.08,17.77,16.43,16.97
2001-07-25,16.99,17.25,16.47,16.87
2001-07-26,16.88,17.7,16.6,17.58
2001-07-27,17.42,18.5,17.2,18.02
2001-07-30,18.18,18.39,17.48,17.8
2001-07-31,17.95,18.25,17.5,17.62
2001-08-01,18.06,18.59,17.87,18.29
2001-08-02,18.69,18.7,18.0,18.45
2001-08-03,18.49,18.51,17.71,17.87
2001-08-06,17.75,17.84,17.26,17.39
2001-08-07,17.35,17.82,17.03,17.3
2001-08-08,17.23,17.5,16.44,16.55
2001-08-09,16.56,16.57,15.6,16.28
2001-08-10,16.09,16.26,15.25,15.42
2001-08-13,15.52,15.8,15.3,15.64
2001-08-14,15.89,16.01,14.74,14.98
2001-08-15,15.05,15.08,13.84,14.26
2001-08-16,13.96,14.99,13.95,14.79
2001-08-17,14.5,14.62,14.0,14.05
2001-08-20,14.04,14.78,13.75,14.46
2001-08-21,14.68,14.69,12.92,13.01
2001-08-22,13.44,13.47,12.75,13.4
2001-08-23,13.29,13.85,13.13,13.26
2001-08-24,13.38,14.27,13.2,14.11
2001-08-27,14.07,14.07,13.01,13.42
2001-08-28,13.52,13.72,12.9,13.0
2001-08-29,13.14,13.34,12.0,12.14
2001-08-30,12.0,12.0,11.02,11.32
2001-08-31,11.32,12.0,11.17,11.86
2001-09-04,11.96,12.41,11.48,11.7
2001-09-05,11.69,11.69,10.45,10.64
2001-09-06,11.03,11.55,10.57,11.1
2001-09-07,10.74,11.16,10.54,10.75
2001-09-10,10.73,12.35,10.71,11.74
2001-09-17,10.55,11.32,10.25,10.88
2001-09-18,10.8,11.13,10.01,10.1
2001-09-19,10.19,10.4,9.8,10.07
2001-09-20,9.95,10.34,9.81,9.97
2001-09-21,9.33,9.4,8.5,8.68
2001-09-24,9.09,9.46,8.89,9.25
2001-09-25,9.16,10.04,9.0,9.28
2001-09-26,9.35,9.5,8.05,8.11
2001-09-27,8.04,9.25,8.02,9.11
2001-09-28,9.16,9.25,7.75,8.81
2001-10-01,8.7,9.2,8.45,9.09
2001-10-02,9.02,9.3,8.89,9.24
2001-10-03,8.91,10.0,8.84,9.91
2001-10-04,10.17,11.59,9.68,10.68
2001-10-05,10.3,10.6,10.05,10.35
2001-10-08,10.05,10.89,9.91,10.49
2001-10-09,10.41,10.6,10.01,10.16
2001-10-10,10.08,11.25,10.01,10.93
2001-10-11,11.96,12.68,11.7,12.5
2001-10-12,12.21,12.26,11.46,12.08
2001-10-15,11.86,12.39,11.55,12.07
2001-10-16,12.19,12.67,12.01,12.5
2001-10-17,13.03,13.18,11.31,11.36
2001-10-18,11.45,11.84,11.08,11.27
2001-10-19,11.12,11.46,10.81,11.37
2001-10-22,11.4,11.88,11.07,11.78
2001-10-23,11.93,12.29,11.4,11.58
2001-10-24,11.78,12.04,11.25,11.95
2001-10-25,11.47,12.32,11.17,12.25
2001-10-26,12.14,12.58,11.73,12.06
2001-10-29,11.95,12.15,11.16,11.3
2001-10-30,11.04,11.42,10.62,11.09
2001-10-31,11.53,11.69,10.85,10.88
2001-11-01,11.07,11.34,10.67,11.2
2001-11-02,11.13,11.25,10.83,10.96
2001-11-05,11.26,12.09,11.18,11.99
2001-11-06,11.9,13.15,11.83,12.99
2001-11-07,12.8,14.01,12.8,13.43
2001-11-08,13.78,14.28,12.97,13.12
2001-11-09,13.22,13.77,12.97,13.72
2001-11-12,13.55,13.77,12.84,13.7
2001-11-13,14.26,14.29,13.8,13.97
2001-11-14,14.57,15.38,14.42,15.21
2001-11-15,14.89,15.46,14.55,14.83
2001-11-16,15.27,16.0,15.05,15.47
2001-11-19,16.04,16.35,15.62,16.28
2001-11-20,15.88,16.0,14.88,14.89
