Date,Time,Open,High,Low,Close,Volume
2010-05-03, 15:30:00, 119.52, 119.72, 119.46, 119.57, 105192
2010-05-03, 15:45:00, 119.57, 119.71, 119.44, 119.66, 69087
2010-05-03, 16:00:00, 119.65, 119.77, 119.43, 119.74, 88781
2010-05-03, 16:15:00, 119.74, 119.82, 119.65, 119.69, 58839
2010-05-03, 16:30:00, 119.68, 119.69, 119.51, 119.63, 57293
2010-05-03, 16:45:00, 119.63, 119.64, 119.20, 119.34, 81409
2010-05-03, 17:00:00, 119.34, 119.49, 119.31, 119.47, 40250
2010-05-03, 17:15:00, 119.47, 119.64, 119.46, 119.62, 30551
2010-05-03, 17:30:00, 119.62, 119.67, 119.56, 119.63, 28968
2010-05-03, 17:45:00, 119.63, 119.86, 119.62, 119.78, 54770
2010-05-03, 18:00:00, 119.78, 119.80, 119.70, 119.74, 22577
2010-05-03, 18:15:00, 119.74, 120.28, 119.69, 120.25, 84470
2010-05-03, 18:30:00, 120.26, 120.38, 120.24, 120.34, 78304
2010-05-03, 18:45:00, 120.34, 120.55, 120.31, 120.55, 82644
2010-05-03, 19:00:00, 120.54, 120.55, 120.30, 120.37, 53663
2010-05-03, 19:15:00, 120.36, 120.43, 120.30, 120.35, 36874
2010-05-03, 19:30:00, 120.35, 120.66, 120.34, 120.47, 65568
2010-05-03, 19:45:00, 120.46, 120.57, 120.43, 120.52, 30822
2010-05-03, 20:00:00, 120.53, 120.54, 120.38, 120.47, 30607
2010-05-03, 20:15:00, 120.47, 120.68, 120.46, 120.67, 52675
2010-05-03, 20:30:00, 120.67, 120.67, 120.44, 120.47, 45747
2010-05-03, 20:45:00, 120.46, 120.67, 120.44, 120.61, 38698
2010-05-03, 21:00:00, 120.61, 120.67, 120.27, 120.36, 75881
2010-05-03, 21:15:00, 120.36, 120.47, 120.18, 120.29, 99198
2010-05-03, 21:30:00, 120.28, 120.45, 120.25, 120.34, 81367
2010-05-03, 21:45:00, 120.35, 120.47, 120.25, 120.39, 134030
2010-05-04, 15:30:00, 118.83, 118.86, 118.24, 118.30, 234631
2010-05-04, 15:45:00, 118.31, 118.65, 118.19, 118.59, 175024
2010-05-04, 16:00:00, 118.60, 118.72, 118.31, 118.55, 168904
2010-05-04, 16:15:00, 118.56, 118.79, 118.40, 118.51, 116927
2010-05-04, 16:30:00, 118.51, 118.53, 117.64, 117.77, 174786
2010-05-04, 16:45:00, 117.77, 117.94, 117.54, 117.56, 140493
2010-05-04, 17:00:00, 117.55, 117.62, 117.21, 117.46, 149100
2010-05-04, 17:15:00, 117.46, 117.74, 117.38, 117.49, 103599
2010-05-04, 17:30:00, 117.49, 117.86, 117.44, 117.70, 89359
2010-05-04, 17:45:00, 117.70, 117.79, 117.59, 117.77, 64116
2010-05-04, 18:00:00, 117.77, 117.78, 117.39, 117.55, 69404
2010-05-04, 18:15:00, 117.55, 117.62, 117.04, 117.20, 110866
2010-05-04, 18:30:00, 117.19, 117.54, 117.14, 117.44, 74614
2010-05-04, 18:45:00, 117.43, 117.74, 117.41, 117.62, 77734
2010-05-04, 19:00:00, 117.63, 117.73, 117.42, 117.44, 65044
2010-05-04, 19:15:00, 117.45, 117.58, 117.37, 117.47, 60211
2010-05-04, 19:30:00, 117.47, 117.74, 117.45, 117.65, 68537
2010-05-04, 19:45:00, 117.65, 117.88, 117.56, 117.65, 63976
2010-05-04, 20:00:00, 117.64, 117.70, 117.43, 117.70, 57480
2010-05-04, 20:15:00, 117.70, 117.71, 117.31, 117.33, 83521
2010-05-04, 20:30:00, 117.33, 117.58, 117.26, 117.36, 92651
2010-05-04, 20:45:00, 117.37, 117.44, 117.24, 117.34, 84919
2010-05-04, 21:00:00, 117.34, 117.59, 117.14, 117.46, 123683
2010-05-04, 21:15:00, 117.46, 117.68, 117.44, 117.50, 113373
2010-05-04, 21:30:00, 117.51, 117.58, 116.92, 117.09, 173060
2010-05-04, 21:45:00, 117.09, 117.71, 117.09, 117.55, 299331
2010-05-05, 15:30:00, 116.56, 116.59, 115.97, 116.42, 200832
2010-05-05, 15:45:00, 116.42, 116.85, 116.15, 116.81, 183275
2010-05-05, 16:00:00, 116.81, 117.02, 116.62, 116.93, 185988
2010-05-05, 16:15:00, 116.93, 117.26, 116.84, 116.84, 134282
2010-05-05, 16:30:00, 116.84, 117.29, 116.75, 117.16, 113958
2010-05-05, 16:45:00, 117.16, 117.43, 117.15, 117.25, 117428
2010-05-05, 17:00:00, 117.25, 117.25, 116.79, 117.10, 112962
2010-05-05, 17:15:00, 117.09, 117.33, 116.98, 117.17, 64940
2010-05-05, 17:30:00, 117.17, 117.40, 117.04, 117.40, 52718
2010-05-05, 17:45:00, 117.39, 117.78, 117.32, 117.68, 98499
2010-05-05, 18:00:00, 117.69, 117.80, 117.42, 117.47, 80258
2010-05-05, 18:15:00, 117.46, 117.60, 117.22, 117.29, 64229
2010-05-05, 18:30:00, 117.28, 117.45, 116.97, 116.98, 72303
2010-05-05, 18:45:00, 116.97, 117.35, 116.97, 117.28, 54385
2010-05-05, 19:00:00, 117.28, 117.35, 116.99, 117.11, 48424
2010-05-05, 19:15:00, 117.11, 117.47, 117.11, 117.26, 41292
2010-05-05, 19:30:00, 117.26, 117.34, 117.05, 117.12, 64211
2010-05-05, 19:45:00, 117.13, 117.37, 117.10, 117.15, 50453
2010-05-05, 20:00:00, 117.14, 117.20, 116.92, 116.98, 65475
2010-05-05, 20:15:00, 116.97, 117.05, 116.79, 116.84, 83853
2010-05-05, 20:30:00, 116.84, 116.86, 116.49, 116.51, 130065
2010-05-05, 20:45:00, 116.50, 116.67, 116.24, 116.60, 145611
2010-05-05, 21:00:00, 116.59, 116.76, 116.47, 116.73, 84147
2010-05-05, 21:15:00, 116.72, 116.85, 116.47, 116.68, 87806
2010-05-05, 21:30:00, 116.68, 116.76, 116.35, 116.74, 108501
2010-05-05, 21:45:00, 116.73, 116.92, 116.53, 116.83, 183154
2010-05-06, 15:30:00, 116.42, 116.86, 116.33, 116.85, 200991
2010-05-06, 15:45:00, 116.85, 116.94, 116.35, 116.67, 139271
2010-05-06, 16:00:00, 116.66, 117.00, 116.56, 116.65, 134338
2010-05-06, 16:15:00, 116.65, 116.94, 116.27, 116.28, 104489
2010-05-06, 16:30:00, 116.29, 116.51, 116.12, 116.15, 117611
2010-05-06, 16:45:00, 116.15, 116.24, 115.82, 116.04, 180121
2010-05-06, 17:00:00, 116.01, 116.15, 115.45, 115.54, 149408
2010-05-06, 17:15:00, 115.54, 115.93, 115.34, 115.81, 209766
2010-05-06, 17:30:00, 115.81, 115.82, 115.39, 115.54, 111122
2010-05-06, 17:45:00, 115.54, 115.69, 115.22, 115.68, 168210
2010-05-06, 18:00:00, 115.69, 116.15, 115.68, 116.13, 121268
2010-05-06, 18:15:00, 116.13, 116.20, 115.76, 115.85, 85854
2010-05-06, 18:30:00, 115.86, 116.00, 115.61, 115.70, 67458
2010-05-06, 18:45:00, 115.69, 115.71, 115.34, 115.70, 102013
2010-05-06, 19:00:00, 115.70, 115.84, 115.22, 115.24, 96668
2010-05-06, 19:15:00, 115.24, 115.34, 114.92, 115.23, 173191
2010-05-06, 19:30:00, 115.23, 115.24, 114.73, 114.93, 115930
2010-05-06, 19:45:00, 114.93, 115.04, 114.58, 114.70, 131477
2010-05-06, 20:00:00, 114.70, 114.85, 113.85, 114.21, 232225
2010-05-06, 20:15:00, 114.21, 114.30, 112.97, 113.52, 309648
2010-05-06, 20:30:00, 113.52, 113.58, 108.59, 108.59, 349805
2010-05-06, 20:45:00, 108.63, 113.00, 105.51, 111.79, 383205
2010-05-06, 21:00:00, 111.80, 113.71, 110.95, 112.49, 335376
2010-05-06, 21:15:00, 112.58, 113.07, 111.14, 112.25, 278528
2010-05-06, 21:30:00, 112.24, 113.24, 112.19, 113.07, 214394
2010-05-06, 21:45:00, 113.08, 114.11, 112.87, 112.89, 304200
2010-05-07, 15:30:00, 112.71, 113.73, 112.15, 113.64, 298580
2010-05-07, 15:45:00, 113.63, 113.77, 112.50, 112.54, 175712
2010-05-07, 16:00:00, 112.54, 112.67, 111.51, 112.02, 212881
2010-05-07, 16:15:00, 112.02, 112.14, 109.58, 110.28, 208461
2010-05-07, 16:30:00, 110.29, 111.41, 110.26, 110.51, 257474
2010-05-07, 16:45:00, 110.51, 111.38, 110.34, 110.96, 188313
2010-05-07, 17:00:00, 110.96, 112.19, 110.75, 112.02, 203844
2010-05-07, 17:15:00, 112.02, 113.09, 111.62, 111.75, 254675
2010-05-07, 17:30:00, 111.76, 112.25, 111.09, 112.24, 185294
2010-05-07, 17:45:00, 112.24, 112.80, 112.03, 112.41, 163300
2010-05-07, 18:00:00, 112.41, 113.03, 112.03, 113.01, 128281
2010-05-07, 18:15:00, 113.02, 113.25, 112.02, 112.22, 157556
2010-05-07, 18:30:00, 112.20, 112.46, 111.74, 112.14, 120338
2010-05-07, 18:45:00, 112.13, 112.57, 111.93, 111.94, 107739
2010-05-07, 19:00:00, 111.94, 112.24, 111.29, 111.56, 140821
2010-05-07, 19:15:00, 111.56, 112.05, 111.50, 111.59, 127310
2010-05-07, 19:30:00, 111.60, 112.40, 111.52, 112.39, 98562
2010-05-07, 19:45:00, 112.38, 112.47, 111.88, 111.99, 81773
2010-05-07, 20:00:00, 111.99, 112.18, 111.32, 111.41, 133457
2010-05-07, 20:15:00, 111.41, 111.84, 111.19, 111.21, 113441
2010-05-07, 20:30:00, 111.21, 111.97, 111.16, 111.72, 98684
2010-05-07, 20:45:00, 111.72, 111.74, 111.13, 111.50, 104826
2010-05-07, 21:00:00, 111.50, 111.55, 110.74, 110.87, 178612
2010-05-07, 21:15:00, 110.88, 111.58, 110.66, 111.12, 179097
2010-05-07, 21:30:00, 111.13, 111.48, 110.55, 111.17, 264072
2010-05-07, 21:45:00, 111.14, 111.56, 110.89, 111.24, 263961
2010-05-10, 15:30:00, 115.72, 116.65, 115.61, 116.46, 323072
2010-05-10, 15:45:00, 116.46, 116.60, 115.79, 115.98, 243727
2010-05-10, 16:00:00, 115.98, 116.31, 115.71, 116.19, 196875
2010-05-10, 16:15:00, 116.19, 116.30, 115.36, 115.39, 150226
2010-05-10, 16:30:00, 115.39, 115.82, 115.30, 115.33, 143737
2010-05-10, 16:45:00, 115.33, 115.75, 115.27, 115.58, 140156
2010-05-10, 17:00:00, 115.58, 116.08, 115.58, 115.83, 131534
2010-05-10, 17:15:00, 115.84, 116.12, 115.66, 116.12, 94007
2010-05-10, 17:30:00, 116.12, 116.28, 115.88, 116.11, 87496
2010-05-10, 17:45:00, 116.11, 116.43, 116.05, 116.24, 80840
2010-05-10, 18:00:00, 116.24, 116.28, 116.02, 116.20, 60990
2010-05-10, 18:15:00, 116.20, 116.24, 115.91, 115.93, 54091
2010-05-10, 18:30:00, 115.93, 116.11, 115.80, 115.85, 69164
2010-05-10, 18:45:00, 115.86, 116.05, 115.78, 115.78, 40832
2010-05-10, 19:00:00, 115.79, 115.85, 115.06, 115.10, 167084
2010-05-10, 19:15:00, 115.10, 115.57, 115.02, 115.49, 115038
2010-05-10, 19:30:00, 115.49, 115.76, 115.10, 115.16, 87121
2010-05-10, 19:45:00, 115.16, 115.58, 115.06, 115.20, 88661
